CustomerID,Lookalikes
C0001,"[('C0137', 0.9993600788417097), ('C0152', 0.9956575062125336), ('C0121', 0.993012333505939)]"
C0002,"[('C0029', 0.999637959673112), ('C0199', 0.9988672178177445), ('C0010', 0.9988313958473667)]"
C0003,"[('C0005', 0.9998942821541472), ('C0178', 0.999565130088116), ('C0144', 0.9992167799811654)]"
C0004,"[('C0067', 0.9999912751252354), ('C0021', 0.9996580546333907), ('C0075', 0.9992876794675158)]"
C0005,"[('C0003', 0.9998942821541472), ('C0073', 0.9994945201465777), ('C0063', 0.9992593273871893)]"
C0006,"[('C0079', 0.999983135903495), ('C0117', 0.9984084372142995), ('C0196', 0.9924309304016623)]"
C0007,"[('C0085', 0.9998000368261725), ('C0140', 0.9978130376911358), ('C0070', 0.9948993057146707)]"
C0008,"[('C0084', 0.9957164129456433), ('C0194', 0.9934494400280589), ('C0154', 0.9889044267318922)]"
C0009,"[('C0077', 0.9998324515798348), ('C0032', 0.9979902268753804), ('C0002', 0.9976551362913944)]"
C0010,"[('C0029', 0.9997701755882139), ('C0025', 0.9993912464818911), ('C0002', 0.9988313958473667)]"
C0011,"[('C0183', 0.9998294251645362), ('C0048', 0.9998279888669044), ('C0016', 0.9997808516381224)]"
C0012,"[('C0136', 0.9997460356266585), ('C0102', 0.9997366446793621), ('C0155', 0.9978379714416702)]"
C0013,"[('C0045', 0.9999845161035829), ('C0143', 0.9999344393626719), ('C0041', 0.9993029425579492)]"
C0014,"[('C0128', 0.998457997306867), ('C0058', 0.9954272208198851), ('C0151', 0.9949361730573426)]"
C0015,"[('C0132', 0.9996973202070656), ('C0036', 0.9991668338653222), ('C0035', 0.998351960879624)]"
C0016,"[('C0048', 0.999997149167357), ('C0183', 0.9999969608543906), ('C0064', 0.9999342403768492)]"
C0017,"[('C0162', 0.9997364930257547), ('C0113', 0.9996188500909337), ('C0093', 0.9983095806756537)]"
C0018,"[('C0200', 0.9999999726605474), ('C0170', 0.9999991131751311), ('C0182', 0.999998536337852)]"
C0019,"[('C0172', 0.9999956320520736), ('C0116', 0.9887306161843394), ('C0034', 0.9558368734609233)]"
C0020,"[('C0110', 0.9995002965632799), ('C0042', 0.9968568042379927), ('C0129', 0.9960709068486583)]"
C0021,"[('C0067', 0.999745350187335), ('C0004', 0.9996580546333907), ('C0156', 0.9990382676433299)]"
C0022,"[('C0143', 0.9992939666799764), ('C0045', 0.999271012265588), ('C0013', 0.9992174720913757)]"
C0023,"[('C0053', 0.9990945405641695), ('C0100', 0.998689857959116), ('C0082', 0.9984157617562831)]"
C0024,"[('C0139', 0.9981410747737073), ('C0081', 0.9972478791463545), ('C0179', 0.9940772417161732)]"
C0025,"[('C0010', 0.9993912464818911), ('C0029', 0.9984136374806083), ('C0083', 0.9971109480133337)]"
C0026,"[('C0185', 0.996710405743399), ('C0158', 0.9943051036858339), ('C0044', 0.9933472917048751)]"
C0027,"[('C0146', 0.9999405146299007), ('C0035', 0.9993951069981939), ('C0186', 0.9993231526912905)]"
C0028,"[('C0099', 0.9997536523692514), ('C0046', 0.9996395299956445), ('C0051', 0.99909332936593)]"
C0029,"[('C0010', 0.9997701755882139), ('C0002', 0.999637959673112), ('C0025', 0.9984136374806083)]"
C0030,"[('C0103', 0.9999984881405455), ('C0189', 0.9999973867210228), ('C0134', 0.999994499867124)]"
